Mean Error (SUV),Mean Absolure Error (SUV),Relative Error (SUV%),Absolure Relative Error (SUV%),Root Mean Squared Error,Peak Signal-to-Noise Ratio,Structual Similarity Index,Center,Dataset,Mode
-0.391218259707853,1.948693217165868,-3.455759725743017,47.76491162944327,7.159046121582978,47.4643125576842,0.8576549027675533,C1,ADCM,Internal
0.1218094343770732,1.2486937120002015,19.07854063796612,48.54764017737013,3.2262086325334947,39.59971311418269,0.9116495122022902,C1,ADCM,Internal
0.5931243898827872,2.198103761355912,17.91919055628312,63.56305965404905,6.744680059278462,37.34710246426954,0.8371368344552667,C2,ADCM,Internal
1.2733471695024696,2.4084901926376032,26.668924290384155,63.049634643116114,8.056122577330656,35.26202589732034,0.8139108375347915,C2,ADCM,Internal
2.88390535582355,3.928054568390128,37.37614685888746,64.61767111615802,20.673145564935098,36.07023655669357,0.8994562609968042,C3,ADCM,Internal
-0.1725456374188848,2.396476815264665,7.774621421381195,56.41213839468912,5.971472058257483,39.78323751846679,0.8541046976218429,C3,ADCM,Internal
1.1953258966493767,2.862892346800691,30.94544578613859,76.4108621107804,9.444159426986213,36.14156335820761,0.8183179379460481,C4,ADCM,Internal
0.703885359283923,2.601265624487403,1.6603895809713147,52.36747595714475,10.195616642947694,37.23606604103956,0.8206534573465091,C4,ADCM,Internal
-0.7777526748003138,3.0721678336252,18.51987509822837,67.35126580585799,11.202226709643671,38.67921286217855,0.8509226406569426,C5,ADCM,External
-0.4846655150169337,2.931378982832966,-24.01465128949588,56.532814720581335,7.7638558875530945,36.405401533988936,0.8395159936327398,C5,ADCM,External
-0.0128928635094717,2.5859626142080105,-25.99374170293182,60.74688988632349,6.764695981816414,35.83254225436576,0.8096020961243078,C5,ADCM,External
1.1769850639878563,3.01063166055812,-15.020613993919708,49.82293605663646,16.19761564965394,36.240879558627846,0.8756657758616972,C5,ADCM,External
1.1806516942290337,3.013919826909836,-14.71712387912158,53.27098770032725,9.666174555542652,35.01855642528475,0.8685512008751372,C5,ADCM,External
-1.2228963468822307,2.4364548444745915,-30.63614781931513,60.19319978725656,4.584128962306616,37.79713951485266,0.8204792233439915,C5,ADCM,External
0.5112240522978962,3.066345165668828,-24.821220243509348,55.83686090389877,10.640978495934242,36.7113866290545,0.841665752957532,C5,ADCM,External
1.600474089063178,3.426006232234943,-9.831398116686373,49.20123497528567,18.72012860489407,34.5261326665183,0.874235542010013,C5,ADCM,External
1.6892988247069147,3.801672600717708,-18.47867229692493,53.819178160223416,24.375363947255835,35.38411257378068,0.8503095969262967,C5,ADCM,External
0.6430018570145973,3.3803626633760024,-18.435367428640586,49.33120928642601,20.04434117861724,36.45862279815664,0.8792139151003121,C5,ADCM,External
-0.071535343390646,2.441474602681833,-8.911607884591664,61.12820977012692,6.381776478416916,32.02671252718974,0.8356407810866404,C5,ADCM,External
2.877180072407449,4.641426535237122,-9.01700756987736,54.68098793550452,27.989001236079574,32.66915828053836,0.8615225794525632,C5,ADCM,External
-1.1891445939476657,1.517361489996696,-21.4064734906955,38.81197920702324,2.9553538478909167,40.86124457433583,0.8804585386174477,C1,Multi-Center,Internal
0.2519972390057742,0.8275240137907782,20.459027122852813,36.570637216268,1.8214795679674691,40.39712623860432,0.9559231865026652,C1,Multi-Center,Internal
