Mean Error (SUV),Mean Absolure Error (SUV),Relative Error (SUV%),Absolure Relative Error (SUV%),Root Mean Squared Error,Peak Signal-to-Noise Ratio,Structual Similarity Index,Center,Dataset
0.9223122262620641,1.1649537632283546,81.16355711947404,95.08784418182681,2.881749757703372,38.66080391994278,0.8505565888943657,C6,ADCM
0.6705059041535253,1.1735136191112783,43.73360105989437,80.648891141814,4.148767006776999,33.72689172525143,0.7507082721247484,C6,ADCM
0.12637248618688393,0.8339503754827454,21.49719948349141,63.73213555722891,2.6264665314251197,34.95800065983178,0.6796692393407336,C6,ADCM
-0.2840915797293291,0.9263133297642985,2.055584900132001,53.8919310816977,2.3476916220473045,37.845244283873654,0.8996499320074027,C6,ADCM
-0.2535716625598128,1.0651863154611039,-8.066485985967729,64.5904682539448,2.836446081215045,38.195605543815375,0.6335057485501747,C6,ADCM
1.9275826335915207,2.0727280380977358,189.85236012024404,195.734980248143,3.2375170973419665,33.03881923942146,0.6433291180123046,C6,ADCM
0.8630085685650036,1.2739163677704353,92.75202093643794,109.19698074045053,2.7890480642142697,34.707351477098264,0.7575893808241102,C6,ADCM
0.21191415319209866,0.8459464744717463,19.262182869141974,59.95468644335009,2.486913176185901,41.08505025895839,0.9069586594086425,C6,ADCM
0.8341330005584192,1.0758853605657783,66.69934167150473,81.08211132417918,2.217572962028676,39.361289496292386,0.8607721569722632,C6,ADCM
1.1766507097746055,1.4586749113299127,107.67433712451736,139.4631872457756,2.5422972483471944,34.490246635660185,0.6094344844173853,C6,ADCM
-0.35437013587632354,0.8473063300580289,-5.718893753589099,60.246241826729175,1.7042782059302133,35.149056634431304,0.7172027204984985,C7,ADCM
-0.011836415886046258,0.84224276522813,8.104776988614688,66.1819644734352,1.6097362756293618,33.32935001777,0.7282771975602707,C7,ADCM
-0.038843388276764555,0.7915542929768836,7.675891669142251,62.74865325377989,2.4526137516796873,40.299404258126245,0.757277164351987,C7,ADCM
-0.02395358166878053,0.7787198725301003,7.410464346220354,57.496621256066724,1.9288330070748263,45.44394944983011,0.7228808269291759,C7,ADCM
-0.15061990399310832,0.8978558237780969,3.4856432412988685,61.131319458376446,1.7765338480929382,35.38366967682845,0.7827136347802105,C7,ADCM
0.018449597489395432,0.8868202509994358,12.50925254773367,69.25593494064458,2.0660179381494164,36.61660419227702,0.7132248879252255,C7,ADCM
-0.0830033175982086,0.9511198718202649,6.299247651521717,66.38213647392978,2.454324331148233,33.11570204117488,0.7022012805471941,C7,ADCM
0.025795909391256106,1.4083579409635132,29.524480229339094,96.15043890715684,14.664001238153002,47.50728806337838,0.9565843993772192,C7,ADCM
-0.10830867951782261,0.755149778844637,3.4280768303980587,53.17010791573927,1.505127348973479,35.290162594129356,0.8243471465193121,C7,ADCM
0.5811948409129032,1.7731106038237996,30.47628688225364,94.01754375827944,17.286520406416845,39.49289307531707,0.8600492097368161,C7,ADCM
-0.008977201872633447,0.8356291895101196,-4.061543116070094,54.48801812853985,2.2552714262917175,37.26604382034151,0.752828089531008,C7,ADCM
-0.25332284373522984,0.49170474780598494,-22.956677254839917,42.83006049940826,0.921483280932116,44.82001846220432,0.9335416670077448,C6,Multi-Center
-0.7852880299539251,0.9156344698244989,-61.72303381176678,66.80033709668093,1.32330950029086,33.86392075703242,0.6050283971225722,C6,Multi-Center
-0.5891696508336531,0.7324099092769698,-41.95914184469118,57.12875722895663,0.9538165032481026,26.72723648693678,0.6112414348520867,C6,Multi-Center
-0.42961442084420787,0.7304263400792187,-33.64003066932097,45.064143523752534,1.5395710339305952,40.89481681589967,0.9342268377133293,C6,Multi-Center
-0.5755135456364943,0.6670736154685519,-41.91319648802262,49.73385402307219,0.8364463287486572,29.15478127342481,0.6946511589936962,C6,Multi-Center
-0.38926749705840136,0.6237066996545871,-34.75748081466874,54.5428630647365,0.9489416441849655,38.98507064138917,0.7695849291343673,C6,Multi-Center
-0.48404856450809347,0.6552700578250187,-37.62158147111397,46.82899851475006,1.036655406884022,35.02088878364438,0.7745908481034063,C6,Multi-Center
-0.3292656258239357,0.5305214697610935,-25.986092586141545,43.29986842048591,0.8338383530933609,45.93269532890004,0.9382343510974043,C6,Multi-Center
-0.3400530626732412,0.5487823306237434,-21.262973267989565,39.490030240516525,0.8717163350735797,44.44638781102013,0.9104171479310873,C6,Multi-Center
-0.3751449579957191,0.5006862620773223,-34.74456053914605,49.89755240042705,0.7271099236776568,37.535007616061414,0.8085724993565465,C6,Multi-Center
-0.6534754940922887,0.7210977033710827,-46.69519527551081,52.92682757919708,1.13996536604763,28.011939355455233,0.686889438335886,C7,Multi-Center
-0.5654231048014308,0.7456819546786527,-38.94953340310917,56.142406281947565,1.4016189882074541,28.845577559863006,0.6933404021344293,C7,Multi-Center
-0.4301723711501698,0.5399609170216582,-38.525321255303396,48.63362005760257,0.7100507836066645,33.70820178409505,0.7479686861319247,C7,Multi-Center
-0.5165880588747674,0.5986961414527346,-38.727590738569646,46.50747238465187,0.8252644533905237,29.061659791299583,0.7254140867334501,C7,Multi-Center
-0.6677419447663477,0.7554271812442813,-47.26078916150595,54.308254260813804,1.078634794688625,35.060187169912396,0.7395343711240424,C7,Multi-Center
-0.6584737454693153,0.7156378882314999,-47.9732396102534,53.19963245429864,1.066670973025894,31.02063766041953,0.6867415883820208,C7,Multi-Center
-0.5517122499860377,0.6309174210748317,-44.48512405516788,51.60363207838839,0.8054576468903026,30.474280913750647,0.6875484476421962,C7,Multi-Center
